[PERF] staticss40Shape40 read=3.8849ms convert=13.0123ms verts=144240
[PERF] polySurfaceShape242 read=4.2028ms convert=6.2721ms verts=163614
[PERF] Frame 0 loaded in 227.8395ms
[PERF] Frame 148 loaded in 11.4187ms
[PERF] Frame 56 loaded in 14.1454ms
[PERF] Frame 122 loaded in 11.6201ms
[PERF] Frame 146 loaded in 12.7019ms
[PERF] Frame 122 loaded in 11.5984ms
[PERF] Frame 67 loaded in 11.4412ms
[PERF] Frame 132 loaded in 11.8912ms
[PERF] Frame 156 loaded in 11.8323ms
[PERF] Frame 219 loaded in 11.5671ms
[PERF] Frame 30 loaded in 16.0421ms
[PERF] Frame 93 loaded in 11.6818ms
[PERF] Frame 238 loaded in 13.1303ms
[PERF] Frame 66 loaded in 15.4102ms
[PERF] Frame 67 loaded in 11.363ms
[PERF] Frame 117 loaded in 11.1905ms
[PERF] Frame 144 loaded in 11.9493ms
[PERF] Frame 197 loaded in 11.1835ms
